pkgconf 1.6.3-3
polkit 0.116-3
polkit-qt5 0.113.0-1
polybar 3.4.1-3
poppler 0.82.0-1
poppler-glib 0.82.0-1
popt 1.16-12
potrace 1.16-1
procps-ng 3.3.15-2
protobuf 3.11.1-2
psmisc 23.3-2
pulseaudio 13.0-2
pulseaudio-alsa 2-5
pygtk 2.24.0-8
python 3.8.0-1
python-anytree 2.7.3-1
python-appdirs 1.4.3-5
python-babel 2.7.0-3
python-chardet 3.0.4-4
python-docutils 0.14-4
python-idna 2.8-3
python-imagesize 1.1.0-3
python-jinja 2.10.3-3
python-lxml 4.4.2-1
python-markupsafe 1.1.1-3
python-ordered-set 3.1.1-1
python-packaging 19.2-5
python-pdftotext 2.1.1-2
python-pygments 2.5.2-1
python-pyparsing 2.4.5-1
python-pytz 2019.3-3
python-requests 2.22.0-3
python-setuptools 1:42.0.2-1
python-six 1.13.0-2
python-snowballstemmer 2.0.0-3
python-sphinx 2.2.1-2
python-sphinx-alabaster-theme 0.7.12-3
python-sphinxcontrib-applehelp 1.0.1-4
python-sphinxcontrib-devhelp 1.0.1-4
python-sphinxcontrib-htmlhelp 1.0.2-4
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.2-4
python-sphinxcontrib-serializinghtml 1.1.3-4
python-urllib3 1.25.7-1
python2 2.7.17-1
python2-appdirs 1.4.3-5
python2-backports 1.0-2
python2-cachecontrol 0.12.5-6
python2-cairo 1.18.2-3
python2-chardet 3.0.4-4
python2-colorama 0.4.3-1
python2-configparser 4.0.2-1
python2-contextlib2 0.6.0-3
python2-distlib 0.3.0-1
python2-distro 1.4.0-3
python2-gobject2 2.28.7-4
python2-html5lib 1.0.1-7
python2-idna 2.8-3
python2-importlib-metadata 0.23-2
python2-ipaddress 1.0.23-1
python2-libappindicator 12.10.0-13
python2-lockfile 0.12.2-6
python2-more-itertools 5.0.0-1
python2-msgpack 0.6.2-3
python2-ordered-set 3.1.1-1
python2-packaging 19.2-5
python2-pathlib2 2.3.4-1
python2-pep517 0.6.0-3
python2-pexpect 4.7.0-3
python2-pip 19.2.3-3
python2-progress 1.5-3
python2-ptyprocess 0.6.0-4
python2-pyparsing 2.4.5-1
python2-pytoml 0.1.21-3
python2-requests 2.22.0-3
python2-retrying 1.3.3-6
python2-scandir 1.10.0-1
python2-setuptools 1:42.0.2-1
python2-six 1.13.0-2
python2-urllib3 1.25.7-1
python2-webencodings 0.5.1-4
python2-xdg 0.26-4
python2-zipp 0.6.0-3
qca 2.2.1-3
qrencode 4.0.2-1
qt5-base 5.14.0-1
qt5-declarative 5.14.0-2
qt5-location 5.14.0-1
qt5-multimedia 5.14.0-1
qt5-speech 5.14.0-1
qt5-svg 5.14.0-1
qt5-webchannel 5.14.0-1
qt5-webengine 5.14.0-1
qt5-x11extras 5.14.0-1
qtkeychain 0.10.0-1
quazip 0.8.1-2
ranger 1.9.2-2
re2 20191201-1
readline 8.0.001-2
recode 3.7.6-1
rest 0.8.1-1
rhash 1.3.9-1
rofi 1.5.4-1
rsync 3.1.3-1
rtkit 0.12-1
ruby 2.6.5-1
ruby-diff-lcs 1.3-3
ruby-manpages 0.6.1-2
ruby-optimist 3.0.0-1
ruby-paint 2.1.0-1
ruby-rainbow 3.0.0-4
ruby-rdoc 6.2.0-1
ruby-rspec 3.8.0-2
ruby-rspec-core 3.8.0-2
ruby-rspec-expectations 3.8.1-2
ruby-rspec-mocks 3.8.0-2
ruby-rspec-support 3.8.0-2
ruby-term-ansicolor 1.6.0-2
ruby-tins 1.16.3-2
rubygems 3.0.6-1
run-parts 4.8.6.1-2
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
scrot 1.2-1
sdl2 2.0.10-1
sed 4.7-3
shadow 4.8-1
shared-mime-info 1.15-1
skypeforlinux-stable-bin 8.55.0.141-1
slang 2.3.2-1
snappy 1.1.7-1
solid 5.65.0-2
sonnet 5.65.0-2
sound-theme-freedesktop 0.8-3
speex 1.2.0-2
speexdsp 1.2.0-1
sqlite 3.30.1-2
startup-notification 0.12-6
sudo 1.8.29-1
sysfsutils 2.1.0-11
systemd 244.1-1
systemd-libs 244.1-1
systemd-sysvcompat 244.1-1
taglib 1.11.1-3
tar 1.32-3
tdb 1.3.18-4
terminus-font 4.48-1
texinfo 6.7-2
thin-provisioning-tools 0.8.5-3
thunderbird 68.3.0-1
tidy 5.7.16-1
tre 0.8.0-5
tslib 1.21-1
ttf-dejavu 2.37-2
ttf-droid 20121017-7
ttf-font-awesome 5.12.0-1
ttf-inconsolata 1:2.0.0.1-3
ttf-liberation 2.00.5-2
ttf-roboto 2.138-1
ttf-ubuntu-font-family 0.83-5
tzdata 2019c-3
udisks2 2.8.4-1
unzip 6.0-13
upower 0.99.11-1
urxvt-font-size-git 32-1
urxvt-perls 2.3-1
usbmuxd 1.1.0+66+g9af2b12-1
util-linux 2.34-8
v4l-utils 1.18.0-1
vala 0.46.5-1
vid.stab 1.1-2
vim 8.1.2268-2
vim-runtime 8.1.2268-2
visual-studio-code-bin 1.41.1-1
vlc 3.0.8-7
vmware-horizon-client 5.3.0-1
vmware-keymaps 1.0-1
volume_key 0.3.12-2
vte-common 0.58.3-1
vte3 0.58.3-1
vulkan-icd-loader 1.1.129-1
w3m 0.5.3.git20190105-1
wayland 1.17.0-1
wayland-protocols 1.18-1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-5
wireless_tools 30.pre9-3
wpa_supplicant 2:2.9-3
x264 3:0.157.r2980.34c06d1-2
x265 3.2.1-1
xapps 1.6.7-1
xbindkeys 1.8.6-3
xbitmaps 1.1.2-1
